"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"582","ILMN_1670305",-3.47083981293548,-0.366847374732673,-16.4245478508662,2.55166737572538e-39,1.20517801822885e-34,78.3146413237111,"SERPING1","serpin family G member 1"
"4701","ILMN_2148785",-2.17556572918382,-0.308181289846535,-16.1486180083352,1.83554913143793e-38,4.33474105134724e-34,76.3894820671009,"GBP1","guanylate binding protein 1"
"4598","ILMN_2114568",-2.17188451396652,-0.390972363405941,-15.938373112013,8.27838430208102e-38,1.3033212299053e-33,74.9193784782747,"GBP5","guanylate binding protein 5"
"1111","ILMN_1690241",-3.20842861938507,-0.467959746534653,-15.2161448271823,1.4854873738139e-35,1.7540263538151e-31,69.8514010551475,"BATF2","basic leucine zipper ATF-like transcription factor 2"
"3081","ILMN_1769520",-1.25226027035856,-0.116070371321782,-15.1517520462179,2.36175457932324e-35,2.23096061072032e-31,69.3984243877711,"UBE2L6","ubiquitin conjugating enzyme E2 L6"
"5437","ILMN_2388547",-2.12753432236833,-0.258899829386139,-15.0868020518432,3.77048073964426e-35,2.9680595969023e-31,68.941375279041,"EPSTI1","epithelial stromal interaction 1"
"1398","ILMN_1701114",-2.06937496834147,-0.285072471836634,-14.9329598026239,1.14236907847074e-34,7.70789056360739e-31,67.8582325251288,"GBP1","guanylate binding protein 1"
"6013","ILMN_3247506",-2.74992087935124,-0.381556744321782,-14.8619740118489,1.90555171603735e-34,1.125013913752e-30,67.3582053725694,"FCGR1CP","Fc gamma receptor Ic, pseudogene"
"4966","ILMN_2261600",-2.68220888128985,-0.35908984470297,-14.8420873464915,2.19928973082304e-34,1.15416281418337e-30,67.2180974306792,"FCGR1A","Fc gamma receptor Ia"
"4967","ILMN_2261600",-2.68220888128985,-0.35908984470297,-14.8420873464915,2.19928973082304e-34,1.15416281418337e-30,67.2180974306792,"FCGR1BP","Fc gamma receptor Ib, pseudogene"
"4968","ILMN_2261600",-2.68220888128985,-0.35908984470297,-14.8420873464915,2.19928973082304e-34,1.15416281418337e-30,67.2180974306792,"FCGR1CP","Fc gamma receptor Ic, pseudogene"
"4772","ILMN_2176063",-2.74957510122218,-0.372398991178218,-14.7025805296845,6.01375703582762e-34,2.84035758559174e-30,66.2349420080082,"FCGR1A","Fc gamma receptor Ia"
"4773","ILMN_2176063",-2.74957510122218,-0.372398991178218,-14.7025805296845,6.01375703582762e-34,2.84035758559174e-30,66.2349420080082,"FCGR1CP","Fc gamma receptor Ic, pseudogene"
"5456","ILMN_2391051",-2.64584168376666,-0.314333983247525,-14.3975416064826,5.42982298209775e-33,2.33141790243144e-29,64.0838240726388,"FCGR1BP","Fc gamma receptor Ib, pseudogene"
"3794","ILMN_1799848",-3.44904664674643,-0.375583027371287,-14.3199886606595,9.50170100644733e-33,3.73979033529595e-29,63.536705563855,"ANKRD22","ankyrin repeat domain 22"
"4657","ILMN_2132599",-2.80476153894175,-0.206291942391089,-13.995020733831,9.91092702695207e-32,3.6007922646921e-28,61.2437031633721,"ANKRD22","ankyrin repeat domain 22"
"3937","ILMN_1805750",-2.30344979621905,-0.241846854826733,-13.6020067547304,1.68691349918735e-30,5.69104367715127e-27,58.4710267905099,"IFITM3","interferon induced transmembrane protein 3"
"88","ILMN_1654389",-2.67341034285455,-0.193294848574257,-13.5161044496868,3.13313727199907e-30,9.86541376625252e-27,57.8652755736056,"FCGR1A","Fc gamma receptor Ia"
"2197","ILMN_1733998",-1.60533135899407,-0.130913993539604,-13.3740852047297,8.71619824915361e-30,2.57296724691109e-26,56.8641659990661,"DHRS9","dehydrogenase/reductase 9"
"4486","ILMN_2075334",1.21638359952843,-0.141268814227723,13.3493707631679,1.0414192982053e-29,2.8933691102079e-26,56.6900039184424,"H4C3","H4 clustered histone 3"
"3252","ILMN_1777325",-1.01406507600488,-0.132930742509901,-13.057621365983,8.49908904558534e-29,2.23011374840023e-25,54.635539453078,"STAT1","signal transducer and activator of transcription 1"
"3293","ILMN_1779163",-0.847847481057901,-0.0703870778960396,-13.0222818399485,1.0957355397551e-28,2.72382554095647e-25,54.3868987313088,"AAMDC","adipogenesis associated Mth938 domain containing"
"3125","ILMN_1771385",-1.55773823068748,-0.139090067455446,-12.9624847594037,1.68398671083638e-28,3.97681881697566e-25,53.9663031276421,"GBP4","guanylate binding protein 4"
"2478","ILMN_1745852",0.765048576662714,0.0507104336435644,12.8672640664081,3.33710178624294e-28,7.17548175625321e-25,53.2968881398951,"WDR33","WD repeat domain 33"
"4173","ILMN_1818149",1.19172537797454,0.0468378828465347,12.8668127010295,3.34793441011377e-28,7.17548175625321e-25,53.2937160244237,NA,NA
"5414","ILMN_2384181",-1.6687875522166,-0.160554809589109,-12.8608558211532,3.49423218635692e-28,7.17548175625321e-25,53.2518530898172,"DHRS9","dehydrogenase/reductase 9"
"1418","ILMN_1701789",-2.12362550661144,-0.256164350792079,-12.748937406522,7.80144913626669e-28,1.53529268397922e-24,52.4656710409556,"IFIT3","interferon induced protein with tetratricopeptide repeats 3"
"1407","ILMN_1701455",-1.52153951807325,-0.114524127331683,-12.7242939593643,9.30979749459494e-28,1.75884418186885e-24,52.2926519093875,"FBXO6","F-box protein 6"
"2614","ILMN_1751079",-1.01193120854901,-0.0741325258316832,-12.6683419964106,1.39050183512143e-27,2.5259535451777e-24,51.8999480530256,"TAP1","transporter 1, ATP binding cassette subfamily B member"
"2132","ILMN_1731224",-1.21271444020858,-0.120454674143564,-12.6391470322978,1.71415004128272e-27,2.99855631851201e-24,51.6951140004116,"PARP9","poly(ADP-ribose) polymerase family member 9"
"2758","ILMN_1756953",-2.69019723186118,-0.257116869861386,-12.6249847362067,1.89724826504999e-27,3.20031902880628e-24,51.5957689013876,"GBP6","guanylate binding protein family member 6"
"5925","ILMN_3241446",-1.18369435628218,-0.098595669960396,-12.5120084750975,4.26102235612624e-27,6.93973610007581e-24,50.8037218459749,"CIMAP1B","ciliary microtubule associated protein 1B"
"5191","ILMN_2342835",-2.34053536208755,-0.113050722316832,-12.4619033065662,6.0986103712404e-27,9.60144888146851e-24,50.4527180034307,"P2RY14","purinergic receptor P2Y14"
"4103","ILMN_1812559",0.770861515757238,0.0635654064059406,12.4279798313958,7.77343344693326e-27,1.18434527461969e-23,50.2151714876329,"SLC7A6","solute carrier family 7 member 6"
"2822","ILMN_1759250",-1.2728791265218,-0.0933717152920792,-12.3499672773221,1.35772364877309e-26,2.00395767672506e-23,49.6692099599856,"TAP2","transporter 2, ATP binding cassette subfamily B member"
"3184","ILMN_1774077",-0.906679999354378,-0.0793871036782178,-12.2167602282158,3.51460438686395e-26,5.03025090290822e-23,48.7380516657329,"GBP2","guanylate binding protein 2"
"4263","ILMN_1859584",-2.10399325937496,-0.120350534118812,-12.2093943622605,3.70423519398874e-26,5.14572742492006e-23,48.6866035321411,NA,NA
"1443","ILMN_1703108",-1.26113359424207,-0.140822832935644,-12.187834773129,4.32002417772191e-26,5.82968748394238e-23,48.5360428485669,"UBE2L6","ubiquitin conjugating enzyme E2 L6"
